verse,refrence
"If you remain in me and my words remain in you, ask whatever you wish, and it will be done for you.",2 Timothy 2:1
"And if the Spirit of him who raised Jesus from the dead is living in you, he who raised Christ from the dead will also give life to your mortal bodies because of his Spirit who lives in you.",Matthew 17:5
"We know also that the Son of God has come and has given us understanding, so that we may know him who is true. And we are in him who is true by being in his Son Jesus Christ. He is the true God and eternal life.",Philippians 3:14
"Jesus said, “I am with you for only a short time, and then I am going to the one who sent me.”",John 17:26
"You see, at just the right time, when we were still powerless, Christ died for the ungodly.",1 John 5:13
"Look, I am coming soon! My reward is with me, and I will give to each person according to what they have done.",John 15:7
"He who testifies to these things says, “Yes, I am coming soon.”Amen. Come, Lord Jesus.",Romans 8:11
"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",1 John 5:20
"Your word is a lamp for my feet,a light on my path.",John 7:33
"He who testifies to these things says, “Yes, I am coming soon.”Amen. Come, Lord Jesus.",Romans 5:6
"I have not come to call the righteous, but sinners to repentance.",Revelation 22:12
Or don’t you know that all of us who were baptized into Christ Jesus were baptized into his death?,John 14:2
"Blessed are you when people hate you,when they exclude you and insult youand reject your name as evil,because of the Son of Man.",Psalm 119:105
"On the last and greatest day of the festival, Jesus stood and said in a loud voice, “Let anyone who is thirsty come to me and drink.”",Revelation 22:20
"But our citizenship is in heaven. And we eagerly await a Savior from there, the Lord Jesus Christ.",Luke 5:32
"For we believe that Jesus died and rose again, and so we believe that God will bring with Jesus those who have fallen asleep in him.",Romans 6:3
"Do not suppose that I have come to bring peace to the earth. I did not come to bring peace, but a sword.",Luke 6:22
"Do not work for food that spoils, but for food that endures to eternal life, which the Son of Man will give you. For on him God the Father has placed his seal of approval.",John 7:37
"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",Philippians 3:20
"Being confident of this, that he who began a good work in you will carry it on to completion until the day of Christ Jesus.",1 Thessalonians 4:14
"But for that very reason I was shown mercy so that in me, the worst of sinners, Christ Jesus might display his immense patience as an example for those who would believe in him and receive eternal life.",Matthew 10:34
The grace of the Lord Jesus Christ be with your spirit. Amen.,John 6:27
"To them God has chosen to make known among the Gentiles the glorious riches of this mystery, which is Christ in you, the hope of glory.",John 14:2
"To the one who is victorious, I will give the right to sit with me on my throne, just as I was victorious and sat down with my Father on his throne.",Philippians 1:6
"I am the living bread that came down from heaven. Whoever eats this bread will live forever. This bread is my flesh, which I will give for the life of the world.",1 Timothy 1:16
"For just as we share abundantly in the sufferings of Christ, so also our comfort abounds through Christ.",Philippians 4:23
"Above his head they placed the written charge against him: this is jesus, the king of the jews.",Colossians 1:27
"So if the Son sets you free, you will be free indeed.",Revelation 3:21
"“Look, he is coming with the clouds,”and “every eye will see him,even those who pierced him”;and all peoples on earth “will mourn because of him.”So shall it be! Amen.",John 6:51
"But in fact the ministry Jesus has received is as superior to theirs as the covenant of which he is mediator is superior to the old one, since the new covenant is established on better promises.",2 Corinthians 1:5
"And I will do whatever you ask in my name, so that the Father may be glorified in the Son.",Matthew 27:37
I have told you this so that my joy may be in you and that your joy may be complete.,John 8:36
"While they were there, the time came for the baby to be born, and she gave birth to her firstborn, a son. She wrapped him in cloths and placed him in a manger, because there was no guest room available for them.",Revelation 1:7
"May the grace of the Lord Jesus Christ, and the love of God, and the fellowship of the Holy Spirit be with you all.",Hebrews 8:6
"Father, I want those you have given me to be with me where I am, and to see my glory, the glory you have given me because you loved me before the creation of the world.",John 14:13
"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",John 15:11
Now he who supplies seed to the sower and bread for food will also supply and increase your store of seed and will enlarge the harvest of your righteousness.,Luke 2:6-7
"Father, I want those you have given me to be with me where I am, and to see my glory, the glory you have given me because you loved me before the creation of the world.",2 Corinthians 13:14
"It is for freedom that Christ has set us free. Stand firm, then, and do not let yourselves be burdened again by a yoke of slavery.",John 14:2
"Consequently, you are no longer foreigners and strangers, but fellow citizens with God’s people and also members of his household, built on the foundation of the apostles and prophets, with Christ Jesus himself as the chief cornerstone.",2 Corinthians 9:10
No one who denies the Son has the Father; whoever acknowledges the Son has the Father also.,John 17:24
"For what I received I passed on to you as of first importance: that Christ died for our sins according to the Scriptures, that he was buried, that he was raised on the third day according to the Scriptures.",Galatians 5:1
"So if anyone tells you, ‘There he is, out in the wilderness,’ do not go out; or, ‘Here he is, in the inner rooms,’ do not believe it. For as lightning that comes from the east is visible even in the west, so will be the coming of the Son of Man.",Ephesians 2:19-20
"I do not set aside the grace of God, for if righteousness could be gained through the law, Christ died for nothing!",1 John 2:23
"Sitting down, Jesus called the Twelve and said, “Anyone who wants to be first must be the very last, and the servant of all.”",1 Corinthians 15:3-4
"Anyone who speaks a word against the Son of Man will be forgiven, but anyone who speaks against the Holy Spirit will not be forgiven, either in this age or in the age to come.",Matthew 24:26-27
"God is faithful, who has called you into fellowship with his Son, Jesus Christ our Lord.",Galatians 2:21
"No one has ever seen God, but the one and only Son, who is himself God and is in closest relationship with the Father, has made him known.",Mark 9:35
"She will give birth to a son, and you are to give him the name Jesus, because he will save his people from their sins.",Matthew 12:32
"But he said to me, “My grace is sufficient for you, for my power is made perfect in weakness.” Therefore I will boast all the more gladly about my weaknesses, so that Christ’s power may rest on me.",1 Corinthians 1:9
"Rather, clothe yourselves with the Lord Jesus Christ, and do not think about how to gratify the desires of the flesh.",John 1:18
"That God was reconciling the world to himself in Christ, not counting people’s sins against them. And he has committed to us the message of reconciliation.",Matthew 1:21
"Jesus said, “Do not hold on to me, for I have not yet ascended to the Father. Go instead to my brothers and tell them, ‘I am ascending to my Father and your Father, to my God and your God.’”",2 Corinthians 12:9
"Whoever serves me must follow me; and where I am, my servant also will be. My Father will honor the one who serves me.",Romans 13:14
