verse,refrence
"Therefore, with minds that are alert and fully sober, set your hope on the grace to be brought to you when Jesus Christ is revealed at his coming.",2 Corinthians 5:19
Grace and peace to you from God our Father and from the Lord Jesus Christ.,John 20:17
Then he called the crowd to him along with his disciples and said: “Whoever wants to be my disciple must deny themselves and take up their cross and follow me.”,John 12:26
"Just as the living Father sent me and I live because of the Father, so the one who feeds on me will live because of me.",1 Peter 1:13
"Just as the Son of Man did not come to be served, but to serve, and to give his life as a ransom for many.",Romans 1:7b
"Again Jesus said, “Peace be with you! As the Father has sent me, I am sending you.”",Mark 8:34
But now in Christ Jesus you who once were far away have been brought near by the blood of Christ.,John 6:57
"As for you, see that what you have heard from the beginning remains in you. If it does, you also will remain in the Son and in the Father.",Matthew 20:28
"Whoever eats my flesh and drinks my blood remains in me, and I in them.",John 20:21
"My Father’s house has many rooms; if that were not so, would I have told you that I am going there to prepare a place for you?",Ephesians 2:13
"For if you forgive other people when they sin against you, your heavenly Father will also forgive you.",1 John 2:24
"Whoever eats my flesh and drinks my blood remains in me, and I in them.",John 14:2
"Then he said to them, “Whoever welcomes this little child in my name welcomes me; and whoever welcomes me welcomes the one who sent me. For it is the one who is least among you all who is the greatest.”",Matthew 6:14
"After the Lord Jesus had spoken to them, he was taken up into heaven and he sat at the right hand of God.",John 6:56
"From that time on Jesus began to preach, “Repent, for the kingdom of heaven has come near.”",Luke 9:48
For in Christ Jesus neither circumcision nor uncircumcision has any value. The only thing that counts is faith expressing itself through love.,Mark 16:19
"In fact, everyone who wants to live a godly life in Christ Jesus will be persecuted.",Matthew 4:17
"The angel answered, “The Holy Spirit will come on you, and the power of the Most High will overshadow you. So the holy one to be born will be called the Son of God.”",Galatians 5:6
"“Come, follow me,” Jesus said, “and I will send you out to fish for people.”",2 Timothy 3:12
"Beyond all question, the mystery from which true godliness springs is great:He appeared in the flesh,was vindicated by the Spirit,was seen by angels,was preached among the nations,was believed on in the world,was taken up in glory.",Luke 1:35
"My goal is that they may be encouraged in heart and united in love, so that they may have the full riches of complete understanding, in order that they may know the mystery of God, namely, Christ.",Matthew 4:19
"When he had led them out to the vicinity of Bethany, he lifted up his hands and blessed them. While he was blessing them, he left them and was taken up into heaven.",1 Timothy 3:16
"Jesus answered, “My teaching is not my own. It comes from the one who sent me.”",Colossians 2:2
"And he took bread, gave thanks and broke it, and gave it to them, saying, “This is my body given for you; do this in remembrance of me.”",Luke 24:50-51
"I want to know Christ—yes, to know the power of his resurrection and participation in his sufferings, becoming like him in his death.",John 7:16
"Exalted to the right hand of God, he has received from the Father the promised Holy Spirit and has poured out what you now see and hear.",Luke 22:19
Do not think that I have come to abolish the Law or the Prophets; I have not come to abolish them but to fulfill them.,Philippians 3:10
"But you, dear friends, by building yourselves up in your most holy faith and praying in the Holy Spirit, keep yourselves in God’s love as you wait for the mercy of our Lord Jesus Christ to bring you to eternal life.",Acts 2:33
"For since death came through a man, the resurrection of the dead comes also through a man.",Matthew 5:17
"Therefore do not let anyone judge you by what you eat or drink, or with regard to a religious festival, a New Moon celebration or a Sabbath day. These are a shadow of the things that were to come; the reality, however, is found in Christ.",Jude 1:20-21
"Now that I, your Lord and Teacher, have washed your feet, you also should wash one another’s feet.",1 Corinthians 15:21
"When the Advocate comes, whom I will send to you from the Father—the Spirit of truth who goes out from the Father—he will testify about me.",Colossians 2:16-17
